country,platform,category,chart_type,app_id,app_name,prev_rank,curr_rank,delta_rank,status
US,app_store,tools,top_free,com.anthropic.claude,Claude by Anthropic,1,1,0,unchanged
US,app_store,tools,top_free,com.openai.chat,ChatGPT,,2,,new
US,app_store,tools,top_free,com.google.gemini,Google Gemini,3,3,0,unchanged
US,app_store,tools,top_free,com.burbn.barcelona,Threads,,4,,new
US,app_store,tools,top_free,com.google.GoogleMobile,Google,5,5,0,unchanged
US,app_store,tools,top_free,com.einnovation.temu,Temu: Shop Like a Billionaire,6,6,0,unchanged
US,app_store,tools,top_free,com.lemon.lvoverseas,CapCut: Photo & Video Editor,7,7,0,unchanged
US,app_store,tools,top_free,ai.x.GrokApp,Grok,8,8,0,unchanged
US,app_store,tools,top_free,zzkko.com.ZZKKO,SHEIN - Shopping Online,9,9,0,unchanged
US,app_store,tools,top_free,net.whatsapp.WhatsApp,WhatsApp Messenger,10,10,0,unchanged
US,app_store,tools,top_free,de.rewards.app,Freecash - Get Paid Real Money,11,11,0,unchanged
US,app_store,tools,top_free,com.whatnot,"Whatnot: Shop, Sell, Connect",,12,,new
US,app_store,tools,top_free,com.google.Gmail,Gmail - Email by Google,13,13,0,unchanged
US,app_store,tools,top_free,com.atebits.Tweetie2,X,14,14,0,unchanged
US,app_store,tools,top_free,com.jadedlabs.arrive,Shop: All your favorite brands,15,15,0,unchanged
US,app_store,tools,top_free,com.spotify.client,Spotify: Music and Podcasts,16,16,0,unchanged
US,app_store,tools,top_free,com.google.Maps,Google Maps,17,17,0,unchanged
US,app_store,tools,top_free,com.microsoft.azureauthenticator,Microsoft Authenticator,18,18,0,unchanged
US,app_store,tools,top_free,com.indeed.JobSearch,Indeed Job Search,19,19,0,unchanged
US,app_store,tools,top_free,com.microsoft.skype.teams,Microsoft Teams,20,20,0,unchanged
US,google_play,tools,top_free,com.clean.forandroid.vidawe,Cleaner Launcher for Android,1,1,0,unchanged
US,google_play,tools,top_free,com.open.web.ai.browser,Open Browser - Smart & Safe,2,2,0,unchanged
US,google_play,tools,top_free,com.find.phone.device.locate.lostphone.android,Find My Phone by Clap Launcher,3,3,0,unchanged
